Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH,A,ABBV,ABT,ALGN,AMGN,BAX,BDX,BIIB,BMY,CI,CNC,CVS,DGX,DXCM,GILD,HCA,HSIC,HUM,IDXX,IQV,ISRG,JNJ,LLY,MCK,MDT,MRK,MTD,PFE,PKI,REGN,RMD,STE,SYK,TFX,TMO,UNH,VRTX,WBA,XRAY,ZBH
2000-01-03,44.0,70.46177160735236,9.22,108.03189558955894,46.77,10.64,17.87,31.08,26.56,22.93,25.502158111652303,13.42,5.67,26.389235555555558,1.35,99.51924327912378,2.48,6.86,4.02,122.66302551640341,74.69415338819822,25.46,33.29,19.48,23.2,27.44,35.38,13.73,16.39,12.31,4.36,7.5,13.91,22.34,12.32,5.48,18.78,18.53,6.77,80.08942573163998,4674353.0,7731183.848259679,10635087.0,815553.501350135,22914900.0,3878251.0,795708.0,2792700.0,3568588.0,2089500.0,2900325.4589733984,6503000.0,394800.0,2789205.2,54070400.0,2636078.194490541,2159340.0,1287300.0,1220000.0,1074639.611178615,4051756.163544038,4642400.0,2645000.0,1810300.0,9266900.0,6265782.0,51400.0,12873345.0,283400.0,153800.0,770400.0,383100.0,1078000.0,172200.0,432200.0,3431200.0,1010000.0,2095900.0,582300.0,1580886.2790355238
2000-01-04,40.64,70.46177160735236,8.96,108.03189558955894,43.19,10.4,17.4,28.98,24.55,22.84,25.502158111652303,13.31,5.66,26.389235555555558,1.28,99.51924327912378,2.35,6.91,3.66,122.66302551640341,74.69415338819822,24.53,32.24,18.23,23.37,26.47,34.62,13.22,15.63,12.0,4.34,7.27,13.76,21.85,11.86,5.41,17.28,17.84,6.77,80.08942573163998,4765083.0,7731183.848259679,10734887.0,815553.501350135,15052600.0,1740481.0,649133.0,2935500.0,10592082.0,2073000.0,2900325.4589733984,5667000.0,924400.0,2789205.2,38960000.0,2636078.194490541,928200.0,1238300.0,4204000.0,1074639.611178615,4051756.163544038,7822200.0,3701000.0,1153400.0,5109300.0,7894689.0,106100.0,14208974.0,249200.0,94100.0,620800.0,321700.0,1140800.0,138700.0,568400.0,5997600.0,265400.0,1709100.0,317700.0,1580886.2790355238
2000-01-05,38.12,70.46177160735236,8.94,108.03189558955894,44.68,10.86,17.53,31.0,24.39,22.75,25.502158111652303,14.05,5.61,26.389235555555558,1.27,99.51924327912378,2.5,7.08,3.77,122.66302551640341,74.69415338819822,24.79,32.65,18.44,24.84,27.51,33.88,13.44,15.45,11.5,4.34,7.22,14.18,23.19,11.96,5.4,17.0,18.04,6.89,80.08942573163998,5758642.0,7731183.848259679,11722632.0,815553.501350135,15071400.0,4200426.0,768545.0,3390000.0,7222700.0,1556700.0,2900325.4589733984,5694000.0,624000.0,2789205.2,24038400.0,2636078.194490541,2998800.0,1096300.0,3565200.0,1074639.611178615,4051756.163544038,8229600.0,3411000.0,1309500.0,5841200.0,7963018.0,162100.0,12981591.0,190400.0,82000.0,845600.0,327600.0,1239200.0,167400.0,490800.0,10562400.0,202000.0,2167800.0,1188000.0,1580886.2790355238
2000-01-06,36.67,70.46177160735236,9.25,108.03189558955894,45.42,11.08,18.25,32.38,24.73,23.85,25.502158111652303,13.05,5.64,26.389235555555558,1.36,99.51924327912378,2.49,7.37,3.75,122.66302551640341,74.69415338819822,25.56,33.6,19.74,25.77,27.74,34.62,13.92,15.65,11.62,4.34,7.36,14.48,23.19,11.96,5.6,16.75,17.51,6.9,80.08942573163998,2534434.0,7731183.848259679,17479583.0,815553.501350135,11118400.0,3350620.0,438598.0,2742300.0,7321988.0,2016900.0,2900325.4589733984,7203200.0,450400.0,2789205.2,35760000.0,2636078.194490541,1082220.0,1026700.0,2865200.0,1074639.611178615,4051756.163544038,5356400.0,2460100.0,2030600.0,6130500.0,4989004.0,245000.0,11115273.0,401400.0,42100.0,265600.0,663900.0,1438400.0,240400.0,561900.0,15300000.0,270600.0,2595400.0,534300.0,1580886.2790355238
2000-01-07,39.72,70.46177160735236,9.35,108.03189558955894,50.53,11.71,19.27,36.1,28.35,24.89,25.502158111652303,13.36,5.86,26.389235555555558,1.57,99.51924327912378,2.57,7.93,3.95,122.66302551640341,74.69415338819822,26.65,36.08,19.53,28.65,30.4,35.62,14.86,15.85,13.0,4.36,7.27,15.82,23.9,12.12,6.26,18.22,17.96,6.88,80.08942573163998,2819626.0,7731183.848259679,15756040.0,815553.501350135,15953900.0,4469948.0,918708.0,4736400.0,10913586.0,1743300.0,2900325.4589733984,6967000.0,1608400.0,2789205.2,67779200.0,2636078.194490541,4083570.0,2419300.0,2336000.0,1074639.611178615,4051756.163544038,9863800.0,5863300.0,1195700.0,11537600.0,10871218.0,215200.0,17962163.0,453200.0,113900.0,1012800.0,313000.0,3115200.0,161100.0,266600.0,16160800.0,813200.0,3629900.0,1401000.0,1580886.2790355238
2000-01-10,42.13,70.46177160735236,9.29,108.03189558955894,53.59,11.27,18.85,39.83,28.04,24.74,25.502158111652303,13.34,5.97,26.389235555555558,1.77,99.51924327912378,2.73,7.59,4.09,122.66302551640341,74.69415338819822,25.98,34.59,19.94,28.44,29.51,37.25,14.84,16.49,14.5,4.41,7.36,15.64,24.57,12.01,6.15,18.78,18.48,7.04,80.08942573163998,2148446.0,7731183.848259679,10442172.0,815553.501350135,10555300.0,1916481.0,526440.0,5765400.0,7113431.0,2408400.0,2900325.4589733984,8786400.0,620800.0,2789205.2,61219200.0,2636078.194490541,2310810.0,1276200.0,620400.0,1074639.611178615,4051756.163544038,4928600.0,2830500.0,2476300.0,6966700.0,6001686.0,78900.0,10413731.0,411400.0,286800.0,973600.0,401000.0,2225600.0,237600.0,470000.0,9336000.0,1306400.0,3296100.0,613200.0,1580886.2790355238
2000-01-11,41.56,70.46177160735236,9.16,108.03189558955894,49.37,11.27,18.55,36.71,27.65,24.1,25.502158111652303,13.38,5.96,26.389235555555558,1.61,99.51924327912378,2.67,7.48,4.44,122.66302551640341,74.69415338819822,26.06,34.78,22.44,28.56,29.62,36.06,14.65,15.97,14.09,4.44,7.22,15.79,24.22,12.12,6.16,19.78,19.21,7.04,80.08942573163998,1855985.0,7731183.848259679,9533285.0,815553.501350135,14103100.0,2438589.0,586608.0,3385200.0,5687572.0,1678500.0,2900325.4589733984,6508400.0,575600.0,2789205.2,46502400.0,2636078.194490541,1488180.0,693700.0,2500800.0,1074639.611178615,4051756.163544038,6153000.0,3309700.0,5369300.0,4413700.0,5264418.0,90500.0,9747076.0,178800.0,198900.0,300800.0,448000.0,722000.0,171500.0,277900.0,9988000.0,1208800.0,3499800.0,581700.0,1580886.2790355238
2000-01-12,40.72,70.46177160735236,9.02,108.03189558955894,47.23,11.14,17.95,35.21,27.58,24.14,25.502158111652303,13.36,5.93,26.389235555555558,1.6,99.51924327912378,2.75,7.65,4.38,122.66302551640341,74.69415338819822,25.82,34.27,21.55,28.52,30.2,35.88,15.13,16.0,14.12,4.36,8.2,15.46,24.31,11.81,6.1,19.56,19.62,6.89,80.08942573163998,1429874.0,7731183.848259679,8330124.0,815553.501350135,11576800.0,1862356.0,860898.0,4256100.0,3727974.0,1857900.0,2900325.4589733984,4623800.0,676800.0,2789205.2,21923200.0,2636078.194490541,3887220.0,764000.0,1569600.0,1074639.611178615,4051756.163544038,5163200.0,3573600.0,2052200.0,3243300.0,5229939.0,30000.0,11423252.0,204200.0,198000.0,419200.0,751200.0,815600.0,160600.0,432300.0,6378400.0,842400.0,2062800.0,1068600.0,1580886.2790355238
2000-01-13,41.33,70.46177160735236,8.94,108.03189558955894,49.65,11.4,19.19,38.71,27.06,24.6,25.502158111652303,13.09,6.16,26.389235555555558,1.68,99.51924327912378,3.12,8.39,4.44,122.66302551640341,74.69415338819822,25.79,33.86,21.92,29.5,30.33,35.88,15.94,16.44,14.19,4.62,8.66,15.45,25.06,12.22,6.29,19.56,19.58,7.19,80.08942573163998,1134337.0,7731183.848259679,10615929.0,815553.501350135,10552600.0,2743826.0,697718.0,3178500.0,4402082.0,1845300.0,2900325.4589733984,5123000.0,700000.0,2789205.2,23811200.0,2636078.194490541,4864890.0,1760600.0,1152400.0,1074639.611178615,4051756.163544038,4659200.0,3639400.0,1131500.0,5029300.0,5610468.0,80400.0,27705866.0,396400.0,102200.0,1065600.0,851500.0,914400.0,191500.0,477500.0,6981600.0,925600.0,2092100.0,847800.0,1580886.2790355238
